time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
5.000000e-12	4.222747e-10	2.271566e+02
5.010000e-12	4.222652e-10	2.269907e+02
5.020000e-12	4.222528e-10	2.268061e+02
5.030000e-12	4.222579e-10	2.265541e+02
5.040000e-12	4.220571e-10	2.262179e+02
5.050000e-12	4.219396e-10	2.258378e+02
5.060000e-12	4.218809e-10	2.255274e+02
5.070000e-12	4.218427e-10	2.252606e+02
5.080000e-12	4.217592e-10	2.250176e+02
5.090000e-12	4.217351e-10	2.248531e+02
5.100000e-12	4.218188e-10	2.247147e+02
5.110000e-12	4.217288e-10	2.246116e+02
5.120000e-12	4.217090e-10	2.245941e+02
5.130000e-12	4.216748e-10	2.246292e+02
5.140000e-12	4.215962e-10	2.247002e+02
5.150000e-12	4.218153e-10	2.247661e+02
5.160000e-12	4.218067e-10	2.248079e+02
5.170000e-12	4.217314e-10	2.247855e+02
5.180000e-12	4.218046e-10	2.247188e+02
5.190000e-12	4.218350e-10	2.246251e+02
5.200000e-12	4.218313e-10	2.245015e+02
5.210000e-12	4.218256e-10	2.243968e+02
5.220000e-12	4.218827e-10	2.243194e+02
5.230000e-12	4.219046e-10	2.242432e+02
5.240000e-12	4.220132e-10	2.242121e+02
5.250000e-12	4.220917e-10	2.242178e+02
5.260000e-12	4.222331e-10	2.242307e+02
5.270000e-12	4.222853e-10	2.242870e+02
5.280000e-12	4.222113e-10	2.243940e+02
5.290000e-12	4.222040e-10	2.244736e+02
5.300000e-12	4.222968e-10	2.245268e+02
5.310000e-12	4.223276e-10	2.245475e+02
5.320000e-12	4.223656e-10	2.245212e+02
5.330000e-12	4.224515e-10	2.244194e+02
5.340000e-12	4.225478e-10	2.242914e+02
5.350000e-12	4.225607e-10	2.241635e+02
5.360000e-12	4.225578e-10	2.240267e+02
5.370000e-12	4.224774e-10	2.238750e+02
5.380000e-12	4.224859e-10	2.236595e+02
5.390000e-12	4.224502e-10	2.233959e+02
5.400000e-12	4.224581e-10	2.230732e+02
5.410000e-12	4.224840e-10	2.226889e+02
5.420000e-12	4.223722e-10	2.222259e+02
5.430000e-12	4.223139e-10	2.217300e+02
5.440000e-12	4.222709e-10	2.212472e+02
5.450000e-12	4.222634e-10	2.208180e+02
5.460000e-12	4.222335e-10	2.204210e+02
5.470000e-12	4.222521e-10	2.200773e+02
5.480000e-12	4.223215e-10	2.197897e+02
5.490000e-12	4.223323e-10	2.195801e+02
5.500000e-12	4.223364e-10	2.194236e+02
5.510000e-12	4.224290e-10	2.193456e+02
5.520000e-12	4.223142e-10	2.193785e+02
5.530000e-12	4.224974e-10	2.195361e+02
5.540000e-12	4.226132e-10	2.197637e+02
5.550000e-12	4.226213e-10	2.199946e+02
5.560000e-12	4.227837e-10	2.202243e+02
5.570000e-12	4.227385e-10	2.204479e+02
5.580000e-12	4.228512e-10	2.206863e+02
5.590000e-12	4.229451e-10	2.209467e+02
5.600000e-12	4.229349e-10	2.212468e+02
5.610000e-12	4.230046e-10	2.216039e+02
5.620000e-12	4.230366e-10	2.219328e+02
5.630000e-12	4.231286e-10	2.222836e+02
5.640000e-12	4.230519e-10	2.225591e+02
5.650000e-12	4.230766e-10	2.227027e+02
5.660000e-12	4.231180e-10	2.227082e+02
5.670000e-12	4.231358e-10	2.225289e+02
5.680000e-12	4.231127e-10	2.221791e+02
5.690000e-12	4.231932e-10	2.217334e+02
5.700000e-12	4.231177e-10	2.212208e+02
5.710000e-12	4.231207e-10	2.206905e+02
5.720000e-12	4.231446e-10	2.202076e+02
5.730000e-12	4.230150e-10	2.197570e+02
5.740000e-12	4.230480e-10	2.193289e+02
